# Detector,X,Y,Effort
1,313008,4345483,90
2,312780,4344278,90
3,308173,4343728,90
4,308896,4342434,90
5,309432,4340537,90
6,310425,4343618,90
7,311220,4342818,90
8,311220,4342818,90
9,312705,4342063,90
10,314067,4341082,78
11,315947,4340686,90
12,317599,4339748,90
13,317178,4339136,90
14,311722,4336038,90
15,310460,4336862,90
16,312415,4337554,90
17,314688,4338384,90
18,315581,4339594,90
19,315849,4336445,90
20,316588,4337905,90
21,316939,4339115,90
22,318236,4338480,90
23,319793,4337382,90
24,313806,4335067,90
25,314594,4333157,90
26,314747,4333373,90
27,315470,4334106,90
28,317393,4334688,90
29,317447,4334486,90
30,318774,4332174,90
31,318490,4331937,82
32,317743,4327436,90
33,320033,4330285,90
34,318589,4329358,90
35,323123,4329042,90
36,322034,4328695,90
37,320560,4329591,90
38,320484,4323650,90
39,318689,4324495,90
40,319036,4326909,90
41,321482,4326686,90
42,315487,4320700,90
43,315893,4321728,90
44,315895,4321726,90
45,319116,4320420,90
46,317998,4320342,90
47,321436,4321907,72
48,322091,4322811,90
49,316360,4318934,90
50,316335,4318905,90
51,318274,4318341,90
52,319924,4318562,90
53,320419,4318005,90
54,321116,4317652,90
55,321338,4318518,90
