#ID,X,Y,/,Effort,Topo,Brokenness,Grass,Rgd
SLT014,745288.00,4832200.00,/,43.00,Saddle,3.00,1.00,49.18
SLT023,741565.50,4836709.90,/,44.00,Valley,3.00,1.00,43.53
SLT017,732925.80,4838204.90,/,44.00,Valley,3.00,1.00,34.60
SLT015,739461.50,4832174.70,/,44.00,Saddle,3.00,1.00,79.01
SLT102,742139.00,4833950.00,/,45.00,Canyon,4.00,0.00,58.20
SLT018,746447.00,4836260.00,/,45.00,Valley,2.00,1.00,47.31
SLT036,704013.20,4834170.50,/,47.00,Saddle,3.00,1.00,38.57
SLT032,711165.80,4836508.10,/,47.00,Saddle,2.00,1.00,45.43
SLT006,699924.50,4831379.10,/,47.00,Valley,3.00,1.00,46.90
SLT012,693220.60,4832131.60,/,46.00,Saddle,2.00,1.00,36.25
SLT021,721443.90,4834555.60,/,46.00,Canyon,4.00,1.00,49.95
SLT026,737825.70,4835092.30,/,45.00,Valley,2.00,1.00,55.57
SLT001,698670.50,4836560.90,/,48.00,Valley,3.00,1.00,48.90
SLT041,695384.80,4834794.40,/,48.00,Valley,2.00,1.00,29.36
SLT005,640062.40,4839291.00,/,51.00,Valley,3.00,1.00,66.75
SLT103,646922.30,4840854.00,/,50.00,Valley,2.00,1.00,37.63
SLT016,651558.60,4837850.70,/,50.00,Saddle,2.00,1.00,93.21
SLT029,632360.00,4838389.50,/,51.00,Saddle,2.00,1.00,51.85
SLT025,647100.20,4838155.50,/,51.00,Saddle,3.00,1.00,53.50
SLT003,669114.00,4837170.60,/,49.00,Valley,2.00,1.00,60.90
SLT040,684111.60,4838028.10,/,48.00,Saddle,2.00,1.00,32.68
SLT022,652531.60,4834511.40,/,58.00,Saddle,2.00,1.00,32.91
SLT019,655579.20,4833442.60,/,58.00,Valley,4.00,1.00,57.41
SLT031,661279.10,4833699.80,/,57.00,Saddle,3.00,1.00,107.53
SLT033,678824.70,4833778.90,/,56.00,Saddle,2.00,1.00,54.67
SLT030,671250.70,4834662.20,/,56.00,Saddle,2.00,1.00,31.70
SLT007,666012.70,4834581.20,/,56.00,Saddle,3.00,1.00,62.19
SLT039,653352.60,4841104.20,/,55.00,Valley,3.00,1.00,67.01
SLT008,657537.30,4838879.10,/,55.00,Valley,2.00,1.00,34.81
SLT104,661681.30,4838662.50,/,55.00,Valley,2.00,1.00,75.09
SLT035,647312.60,4844900.70,/,54.00,Valley,4.00,1.00,122.49
SLT027,643255.10,4843348.90,/,54.00,Valley,3.00,1.00,41.63
SLT101,637181.40,4842366.80,/,53.00,Valley,3.00,1.00,76.54
SLT020,632213.10,4842388.70,/,53.00,Valley,4.00,1.00,98.13
SLT009,626888.20,4841984.20,/,53.00,Valley,4.00,1.00,49.56
SLT037,620800.40,4835210.80,/,52.00,Saddle,2.00,1.00,30.32
SLT024,618559.00,4832789.90,/,52.00,Saddle,2.00,1.00,69.61
SLT034,628269.40,4832311.20,/,52.00,Saddle,2.00,1.00,41.12
