#Session,ID,Occasion ,x,y
1,F10,1,229813.1759,3176054.137
1,F10,1,230024.2439,3176409.601
1,F12,1,226389.5351,3180386.42
1,F12,1,226387.875,3180369.616
1,F12,1,226251.2504,3179976.286
1,F17,1,226380.6883,3180318.986
1,F17,1,223934.8805,3186633.593
1,F2,1,196022.8873,3193043.016
1,F2,1,197336.2189,3193708.373
1,F2,1,197231.8806,3194176.346
1,F24,1,267893.8454,3172806.966
1,F25,1,190649.9273,3209556.658
1,F30,1,216176.4952,3232282.243
1,F30,1,215764.4476,3231540.211
1,F31,1,209635.5413,3230082.772
1,F31,1,209475.7715,3229991.99
1,F32,1,229937.8558,3176216.555
1,F33,1,209182.2057,3230093
1,F33,1,208197.7315,3233992.164
1,F33,1,215214.7142,3231592.737
1,F34,1,212624.4868,3175647.663
1,F34,1,225047.8994,3184363.579
1,F5,1,171447.9532,3201788.21
1,F5,1,174032.2271,3202002.409
1,F5,1,170456.3347,3201593.698
1,F7,1,205724.5741,3176102.868
1,F7,1,205687.52,3176163.102
1,F7,1,204528.5494,3179740.125
1,F7,1,202162.2522,3182109.357
1,F7,1,204087.1391,3182807.888
1,F7,1,204339.7732,3180710.534
1,F9,1,187006.4621,3185597.14
1,F9,1,196864.7992,3193493.348
1,M29,1,203646.1094,3181685.892
1,M1,1,230498.7935,3177029.881
1,M1,1,231939.5264,3177220.119
1,M1,1,229428.4126,3174522.281
1,M1,1,232651.7753,3180128.745
1,M1,1,232671.012,3180166.366
1,M1,1,233959.6942,3179204.896
1,M11,1,209048.9694,3231111.099
1,M11,1,209054.3108,3231129.123
1,M11,1,219315.6021,3232553.266
1,M13,1,208793.7081,3229751.602
1,M13,1,212526.9712,3232989.451
1,M13,1,211435.6809,3235433.524
1,M13,1,212108.4793,3235918.488
1,M13,1,213323.6907,3236336.798
1,M14,1,198156.3783,3193415.236
1,M15,1,190486.8813,3209256.463
1,M15,1,190453.3447,3209028.598
1,M16,1,233566.4191,3185617.873
1,M16,1,225885.1682,3183983.286
1,M18,1,207027.1605,3230913.407
1,M18,1,212170.3324,3235978.347
1,M19,1,226736.5808,3211494.568
1,M19,1,227019.3055,3211547.258
1,M20,1,213500.6555,3231657.167
1,M21,1,233064.3204,3186199.659
1,M22,1,233267.1838,3185103.716
1,M23,1,253242.1693,3175380.531
1,M23,1,269318.848,3172620.075
1,M26,1,196546.8023,3193486.432
1,M27,1,205259.0329,3178333.139
1,M28,1,195815.1054,3227140.975
1,M3,1,171291.7151,3201800.201
1,M3,1,174042.5791,3201997.968
1,M3,1,176285.9296,3201066.496
1,M3,1,170776.7137,3202055.956
1,M3,1,170774.401,3201662.172
1,M3,1,169945.7008,3201558.367
1,M3,1,172883.4734,3201986.804
1,M4,1,205614.3165,3176211.873
1,M4,1,204826.417,3179113.823
1,M4,1,204016.299,3183799.633
1,M4,1,204315.8588,3180403.418
1,M4,1,203891.1867,3180274.309
1,M6,1,216586.2216,3175265.478
1,M6,1,218881.0526,3173245.365
1,M8,1,177910.4729,3201328.327
1,M8,1,182598.2297,3197053.863
