#Session,ID,Occasion,Detector
1,4,1,23
1,4,1,36
1,9,1,54
1,9,1,54
1,9,1,36
1,2,1,54
1,2,1,56
1,2,1,82
1,2,1,36
1,10,1,63
1,10,1,36
1,11,1,49
1,11,1,49
1,12,1,56
1,13,1,54
1,13,1,56
1,14,1,58
1,15,1,58
1,16,1,72
1,17,1,77
1,18,1,78
1,19,1,78
1,20,1,80
1,21,1,84
1,22,1,131
1,22,1,122
1,22,1,118
1,23,1,125
1,24,1,132
1,24,1,127
1,25,1,127
1,26,1,180
1,26,1,142
1,26,1,169
1,26,1,140
1,26,1,142
1,26,1,174
1,26,1,187
1,26,1,142
1,26,1,169
1,26,1,168
1,27,1,160
1,27,1,149
1,27,1,149
1,27,1,145
1,28,1,174
1,28,1,181
1,28,1,180
1,28,1,190
1,30,1,170
1,30,1,190
1,31,1,225
1,31,1,219
1,31,1,206
1,31,1,229
1,31,1,229
1,31,1,229
1,31,1,223
1,33,1,200
1,33,1,196
1,34,1,219
1,34,1,226
1,34,1,229
1,34,1,219
1,34,1,226
1,34,1,228
1,34,1,229
1,34,1,226
1,34,1,229
1,34,1,229
1,34,1,196
1,34,1,223
1,34,1,219
1,34,1,223
1,34,1,229
1,34,1,229
1,34,1,211
1,38,1,360
1,39,1,375
1,40,1,428
1,41,1,438
1,42,1,442
1,43,1,466
