#Poly_ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
437,537688,3957055,52,/,Reconyx,yes,fish_castor,Pasture,RIDGE
438,537714,3957928,51,/,Reconyx,yes,fish_castor,Pasture,RIDGE
439,532308,3961253,52,/,Reconyx,yes,fish_castor,BARREN,RIDGE
440,532921,3961624,52,/,Reconyx,yes,fish_castor,Scrub,RIDGE
441,539665,3964824,51,/,Reconyx,yes,fish_castor,Scrub,Cliff_base
442,540145,3963534,51,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
443,538474,3960919,50,/,Reconyx,yes,fish_castor,BARREN,RIDGE
444,538221,3958864,50,/,Reconyx,yes,fish_castor,Forest,Cliff_base
445,535245,3972204,52,/,Reconyx,yes,fish_castor,Forest,RIDGE
446,538785,3970367,52,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
447,535363,3977527,52,/,Reconyx,yes,fish_castor,Scrub,RIDGE
448,540167,3978229,52,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
449,541351,3977586,52,/,Reconyx,yes,fish_castor,Pasture,RIDGE
450,538703,3979829,52,/,Reconyx,yes,fish_castor,Scrub,RIDGE
451,538203,3977801,52,/,Reconyx,yes,fish_castor,BARREN,VALLEY
452,539175,3980208,52,/,Reconyx,yes,fish_castor,Pasture,DRAW
453,532339,3952503,52,/,Reconyx,yes,fish_castor,Forest,RIDGE
454,537806,3965695,46,/,Reconyx,yes,fish_castor,Scrub,Cliff_base
455,533301,3952931,52,/,Reconyx,yes,fish_castor,Pasture,RIDGE
456,534342,3957539,45,/,Reconyx,yes,fish_castor,Scrub,Cliff_base
457,539459,3945086,51,/,Reconyx,yes,fish_castor,Forest,RIDGE
458,538562,3944814,51,/,Reconyx,yes,fish_castor,Forest,Cliff_base
459,541227,3942327,50,/,Reconyx,yes,fish_castor,Forest,RIDGE
460,544442,3939965,50,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
461,548101,3930876,50,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
462,546566,3930660,50,/,Reconyx,yes,fish_castor,Forest,RIDGE
463,545019,3939058,50,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
464,553425,3927158,50,/,Reconyx,yes,fish_castor,Forest,RIDGE
465,552726,3926754,50,/,Reconyx,yes,fish_castor,Forest,Cliff_base
466,541749,3941936,50,/,Reconyx,yes,fish_castor,Scrub,RIDGE
