#Session,ID,Occasion,Detector,Sex
1,Anu,1,SLT002,F
1,Ariun,1,SLT002,M
1,Agnes,1,SLT003,F
1,F8,1,SLT003,F
1,F8,1,SLT007,F
1,Agnes,1,SLT007,F
1,Aztai,1,SLT008,M
1,Aztai,1,SLT008,M
1,Aztai,1,SLT008,M
1,Suhder,1,SLT011,F
1,Ariun,1,SLT011,M
1,Devekh,1,SLT012,M
1,Ariun,1,SLT014,M
1,Ariun,1,SLT014,M
1,Agnes,1,SLT014,F
1,Tenger,1,SLT016,F
1,Devekh,1,SLT016,M
1,Shinejh,1,SLT017,F
1,Lasya,1,SLT019,F
1,Ariun,1,SLT019,M
1,Devekh,1,SLT020,M
1,Shinejh,1,SLT020,F
1,Devekh,1,SLT020,M
1,Devekh,1,SLT020,M
1,Devekh,1,SLT020,M
1,Suuder,1,SLT021,F
1,Tenger,1,SLT022,F
1,Aztai,1,SLT024,M
1,Aztai,1,SLT025,M
1,Suhder Cub 1,1,SLT025,U
1,Suhder Cub 1,1,SLT025,U
1,Suhder Cub 1,1,SLT025,U
1,Suhder Cub 1,1,SLT025,U
1,Aztai,1,SLT025,M
1,Suhder Cub 1,1,SLT025,U
1,Devekh,1,SLT025,M
1,Suhder Cub 1,1,SLT025,U
1,Suhder Cub 1,1,SLT025,U
1,Aztai,1,SLT029,M
1,Devekh,1,SLT030,M
1,Ariun,1,SLT030,M
1,Agnes,1,SLT031,F
1,Agnes,1,SLT031,F
1,F8,1,SLT031,F
1,F8,1,SLT031,F
1,F8,1,SLT031,F
1,F8,1,SLT031,F
1,F8,1,SLT031,F
1,Agnes,1,SLT031,F
1,F8,1,SLT031,F
1,Agnes,1,SLT031,F
1,Agnes,1,SLT031,F
1,Ariun,1,SLT032,M
1,F8,1,SLT032,F
1,F8,1,SLT032,F
1,Ariun,1,SLT033,M
1,Anu,1,SLT033,F
1,Suuder,1,SLT033,F
1,Anu,1,SLT033,F
1,Anu,1,SLT034,F
1,Inquisitive Cub 1,1,SLT034,U
1,Ariun,1,SLT035,M
1,Anu,1,SLT035,F
1,Ariun,1,SLT035,M
1,Khashaa,1,SLT036,F
1,Khashaa,1,SLT036,F
1,Khashaa,1,SLT036,F
1,Aztai,1,SLT036,M
1,Devekh,1,SLT036,M
1,Devekh,1,SLT037,M
1,Devekh,1,SLT037,M
1,Ariun,1,SLT039,M
1,Ariun,1,SLT039,M
1,Agnes,1,SLT039,F
1,Aztai,1,SLT040,M
1,Aztai,1,SLT040,M
1,Suhder Cub 1,1,SLT040,U
1,Tenger,1,SLT040,F
1,Tenger,1,SLT040,F
1,Lasya,1,SLT101,F
1,Lasya,1,SLT101,F
1,Lasya,1,SLT101,F
1,Lasya,1,SLT101,F
1,Ariun,1,SLT101,M
1,Lasya,1,SLT102,F
1,Ariun,1,SLT102,M
1,Devekh,1,SLT102,M
1,Devekh,1,SLT102,M
1,Agnes,1,SLT103,F
1,F8,1,SLT103,F
1,Agnes,1,SLT103,F
1,F8,1,SLT103,F
1,F8,1,SLT103,F
1,Ariun,1,SLT103,M
1,Khashaa,1,SLT104,F
1,Devekh,1,SLT104,M
1,Khashaa,1,SLT104,F
1,Lasya,1,SLT104,F
1,Lasya,1,SLT104,F
