#Session,ID,Occasion,Detector,Sex
1,Costa,1,SLT003,U
1,Carvajal,1,SLT003,U
1,James,1,SLT006,U
1,James,1,SLT006,U
1,Kroos,1,SLT006,U
1,Draxler,1,SLT006,U
1,Carvajal,1,SLT009,U
1,Kroos,1,SLT017,U
1,Kroos,1,SLT018,U
1,Kroos,1,SLT018,U
1,Costa,1,SLT018,U
1,Carvajal,1,SLT018,U
1,Mario,1,SLT018,U
1,Mario,1,SLT018,U
1,Simba,1,SLT022,U
1,Ali,1,SLT022,U
1,Bellerin,1,SLT022,U
1,Bellerin,1,SLT022,U
1,Aguero,1,SLT029,U
1,Kroos,1,SLT030,U
1,James,1,SLT102,U
1,Mario,1,SLT102,U
1,Carvajal,1,SLT105,U
1,Aguero,1,SLT105,U
1,Messi,1,SLT108,U
1,Carvajal,1,SLT111,U
1,Dimaria,1,SLT111,U
1,Kroos,1,SLT115,U
1,Kroos,1,SLT115,U
1,Wardy,1,SLT115,U
1,Wardy,1,SLT115,U
1,Wardy,1,SLT115,U
1,Wardy,1,SLT115,U
1,Kroos,1,SLT115,U
1,Kroos,1,SLT115,U
1,Kroos,1,SLT115,U
1,Kroos,1,SLT115,U
1,Kroos,1,SLT115,U
1,Jese,1,SLT115,U
1,Muller,1,SLT115,U
1,Aguero,1,SLT122,U
1,Marcelo,1,SLT123,U
1,Marcelo,1,SLT123,U
1,Carvajal,1,SLT123,U
1,Carvajal,1,SLT123,U
1,Costa,1,SLT124,U
1,Carvajal,1,SLT124,U
1,Costa,1,SLT128,U
1,Costa,1,SLT128,U
1,Costa,1,SLT128,U
1,Costa,1,SLT128,U
1,Aguero,1,SLT128,U
